lr,lora,wandb,device,epochs,r_rank,dataset,backbone,n_layers,run_name,template,grad_clip,batch_size,input_size,lora_alpha,n_features,hidden_size,project_name,weight_decay,shuffle_dataset,id,name,train_a_loss,train_a_acc,train_t_loss,test_a_loss,test_a_acc,test_t_loss,_runtime
0.0005,False,True,cuda,50,32,sepsis,vanilla,1,sepsis-backbone=crnn-templates=positive relations-lr=0.0005-bs=16-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,all,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,0ke2mj9l,sepsis-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.6847164879242579,0.7338891971567473,0.010593047365546228,0.73595330119133,0.7050327685323408,0.011295884381979704,21.443999767303467
0.0005,False,True,cuda,50,32,sepsis,crnn,1,sepsis-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,positive relations,,16,32,64,2,128,cosmo-bpm-sim,1e-05,True,vrvb15ce,sepsis-backbone=crnn-templates=positive relations-lr=0.0005-bs=16-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.07814009146143992,0.9756232847694232,0.020458614802919328,0.32870373445061535,0.8966123547300555,0.016544197399455767,38.379985094070435
0.0005,False,True,cuda,50,32,sepsis,crnn,1,sepsis-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,existence,,64,32,64,2,256,cosmo-bpm-sim,1e-05,True,i33zoysb,sepsis-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.3823867241541545,0.8485480776715376,0.01409965155956646,0.543333388864994,0.7722546057848767,0.018129018833860755,21.263970375061035
0.0005,False,True,cuda,50,32,sepsis,crnn,1,bpi20_req4pay-backbone=vanilla-templates=all-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,choice,,64,32,64,2,256,cosmo-bpm-sim,1e-05,True,k1mykctq,sepsis-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.5136729603012403,0.7908577234952818,0.01759005555262168,0.6695743799209595,0.735015735482164,0.016668996773660183,16.73231315612793
0.0005,False,True,cuda,50,32,bpi20_permit,vanilla,1,bpi20_permit-backbone=crnn-templates=positive relations-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,all,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,6p4vbydg,bpi20_permit-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.3692234024919313,0.8762313024290209,0.008542254486859873,0.4294671167929967,0.8638286631595368,0.006378693568209807,93.06160593032835
5e-05,False,True,cuda,50,32,bpi20_permit,crnn,1,bpi20_permit-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,positive relations,,16,32,64,2,256,cosmo-bpm-sim,1e-05,True,sdya735w,bpi20_permit-backbone=crnn-templates=positive relations-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.03920647945029266,0.9899917373448204,0.009749678606610922,0.11828740926639436,0.9694413970241668,0.017134920208707077,308.98021817207336
0.0005,False,True,cuda,50,32,bpi20_permit,crnn,1,bpi20_permit-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,existence,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,k91iygns,bpi20_permit-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.10919674383155233,0.9624097438325664,0.007333171698425351,0.15655547032753628,0.9529773766054584,0.010391178959980606,146.52888202667236
0.0005,False,True,cuda,50,32,bpi20_permit,crnn,1,bpi19-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,choice,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,s1p8u7fp,bpi20_permit-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.1401286917770731,0.9534019730762056,0.00831756097714192,0.2299457420905431,0.9422242123587964,0.011214837478473783,143.93046975135803
0.0005,False,True,cuda,50,32,bpi17,vanilla,1,,all,,64,32,64,2,256,cosmo-bpm-sim,1e-05,True,b950cl44,bpi17-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.2587967096919745,0.8993978339641987,0.002081118308296296,0.2648296663735775,0.8975935929461404,0.0013873681445863652,994.635613679886
0.0005,False,True,cuda,50,32,bpi17,crnn,4,bpi17-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,positive relations,,64,32,64,2,256,cosmo-bpm-sim,1e-05,True,71r1p78b,bpi17-backbone=crnn-templates=positive relations-lr=0.0005-bs=64-hidden=256-input=32-nlayers=4-rank=32-alpha=64-lora=False,0.13184477709968326,0.9390181891801918,0.0020002924560070775,0.218304287721502,0.915752466424964,0.002566594904179665,5005.824636697769
0.0005,False,True,cuda,50,32,bpi17,crnn,1,bpi17-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,existence,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,4svejkft,bpi17-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.18678374500341816,0.9174362319885572,0.002449507182660762,0.20124361426272291,0.911859063222104,0.0017721638668011478,2237.542965888977
0.0005,False,True,cuda,50,32,bpi17,crnn,1,bpi13_problems-backbone=vanilla-templates=all-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,choice,,64,32,64,2,256,cosmo-bpm-sim,1e-05,True,wtkxp7o0,bpi17-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.2109762240463579,0.912584324122767,0.002723582466231318,0.21902854122379992,0.909017593740609,0.0016861329105325995,2152.0403187274933
5e-05,False,True,cuda,50,32,bpi13_problems,vanilla,1,bpi13_problems-backbone=crnn-templates=positive relations-lr=5e-05-bs=16-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,all,,16,32,64,2,256,cosmo-bpm-sim,1e-05,True,avnq3l64,bpi13_problems-backbone=vanilla-templates=all-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.8287940975782033,0.6876685519456603,0.008961225217963392,1.061106094292232,0.5809816872881621,0.008660447600829815,25.801459550857544
5e-05,False,True,cuda,50,32,bpi13_problems,crnn,1,bpi13_problems-backbone=crnn-templates=existence-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,positive relations,,16,32,64,2,128,cosmo-bpm-sim,1e-05,True,99pzplfd,bpi13_problems-backbone=crnn-templates=positive relations-lr=5e-05-bs=16-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.554204024173118,0.8209860871224524,0.03605741559452302,0.6752700124468122,0.7964348162047491,0.030300585336850157,37.00706911087036
5e-05,False,True,cuda,50,32,bpi13_problems,crnn,1,bpi13_problems-backbone=crnn-templates=choice-lr=5e-05-bs=16-hidden=128-input=32-nlayers=4-rank=32-alpha=64-lora=False,existence,,16,32,64,2,256,cosmo-bpm-sim,1e-05,True,r8b5ocvv,bpi13_problems-backbone=crnn-templates=existence-lr=5e-05-bs=16-hidden=256-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.3600591880244178,0.882087342663434,0.01660017928460965,0.5696365322385516,0.8060246604646994,0.021547254507562945,36.42419195175171
5e-05,False,True,cuda,50,32,bpi13_problems,crnn,4,bpi13_incidents-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,choice,,16,32,64,2,128,cosmo-bpm-sim,1e-05,True,qyzfi31q,bpi13_problems-backbone=crnn-templates=choice-lr=5e-05-bs=16-hidden=128-input=32-nlayers=4-rank=32-alpha=64-lora=False,0.4440784071748321,0.8510248628122812,0.028653791224634326,0.601989169205938,0.8507893722169647,0.02974921777578337,76.99979329109192
0.0005,False,True,cuda,50,32,bpi12,vanilla,1,bpi12-backbone=crnn-templates=positive relations-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,all,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,tccc5uyc,bpi12-backbone=vanilla-templates=all-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.3044820120930672,0.8683474606448768,0.002404863358242437,0.420104905962944,0.826157772068542,0.002406098737588359,143.12632203102112
0.0005,False,True,cuda,50,32,bpi12,crnn,1,bpi12-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,positive relations,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,uobgs5bo,bpi12-backbone=crnn-templates=positive relations-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.1199764895439148,0.9410294724955176,0.003906311867758631,0.1515999341176616,0.922123613121376,0.0030702563397224164,192.05654525756836
0.0005,False,True,cuda,50,32,bpi12,crnn,1,bpi12-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,existence,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,yf3rtuib,bpi12-backbone=crnn-templates=existence-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.10028199307620524,0.9470155418667152,0.003602804160909727,0.14738379936251375,0.9192293968785994,0.0030245547208728064,186.3953766822815
0.0005,False,True,cuda,50,32,bpi12,crnn,1,,choice,,64,32,64,2,128,cosmo-bpm-sim,1e-05,True,ggowzv2s,bpi12-backbone=crnn-templates=choice-lr=0.0005-bs=64-hidden=128-input=32-nlayers=1-rank=32-alpha=64-lora=False,0.17721106022596358,0.9092546245390436,0.00249917431268841,0.23541194200515747,0.8706057904351195,0.0017953117914860034,200.9282009601593
